NUSP,P1,P2,Sub,M1
13681641,6.7,3.3,9.2,8.2
13681655,6.7,4.2,,5.2
13681676,6.7,3.3,5.0,5.7
13681697,5.0,4.2,5.8,5.5
13681700,4.2,,10.0,7.7
13681721,5.0,3.3,5.8,5.5
13681738,5.8,3.3,9.2,7.8
13681742,8.3,3.3,6.7,7.3
13681759,4.2,2.5,10.0,7.7
13681763,5.0,1.7,,3.0
13681770,7.5,2.5,5.0,6.0
13681784,8.3,5.8,,6.8
13681791,5.0,4.2,4.2,4.5
13681804,4.2,3.3,1.7,2.7
13681811,2.5,4.2,2.5,3.5
13681825,7.5,6.7,,7.0
13681832,2.5,6.7,,5.0
13681846,6.7,3.3,4.2,5.2
13681850,8.3,0.8,5.0,6.3
13681871,5.8,1.7,7.5,6.8
13681908,4.2,6.7,,5.7
13681912,5.0,1.7,9.2,7.5
13681929,3.3,0.8,10.0,7.3
13681933,5.0,3.3,9.2,7.5
13681954,4.2,3.3,3.3,3.7
13681961,6.7,1.7,5.0,5.7
13681975,4.2,2.5,8.3,6.7
13681996,4.2,2.5,1.7,2.7
13682002,8.3,7.5,,7.8
13682020,4.2,4.2,2.5,3.5
13682037,5.0,2.5,,3.5
13682041,4.2,4.2,,4.2
13682062,3.3,1.7,3.3,3.3
13682103,3.3,3.3,2.5,3.0
13682124,6.7,2.5,6.7,6.7
13682131,5.8,2.5,5.8,5.8
13682152,0.8,0.8,4.2,2.8
13682166,5.8,2.5,4.2,5.0
13682187,3.3,,3.3,3.3
13682191,3.3,4.2,,3.8
13682228,3.3,2.5,2.5,2.8
13682232,5.0,2.5,4.2,4.5
13682253,2.5,10.0,,7.0
13682260,5.8,7.5,,6.8
13682281,8.3,5.8,,6.8
13682295,4.2,7.5,,6.2
13682301,2.5,3.3,,3.0
13682322,9.2,2.5,,5.2
13682340,4.2,3.3,3.3,3.7
13682357,4.2,4.2,3.3,3.8
13682361,6.7,5.0,,5.7
13682378,3.3,3.3,,3.3
13682382,2.5,1.7,1.7,2.0
13682399,3.3,5.0,4.2,4.7
13682402,5.0,3.3,,4.0
13682419,7.5,5.0,,6.0
13682430,5.0,5.8,,5.5
13682444,4.2,2.5,7.5,6.2
13682451,7.5,6.7,,7.0
13682486,10.0,6.7,,8.0
13682490,7.5,5.0,,6.0
13682510,5.8,4.2,,5.0
13682527,8.3,5.8,,6.8
13682531,6.7,4.2,,5.2
13682548,5.8,5.0,,5.3
13682552,5.0,5.0,,5.0
13682569,3.3,2.5,3.3,3.3
13682573,8.3,8.3,,8.3
13682594,,,,0.0
13682621,2.5,7.5,,5.5
13682635,3.3,2.5,3.3,3.3
13682642,6.7,5.0,,5.7
13682656,6.7,3.3,7.5,7.2
13682677,5.8,5.0,,5.3
13682701,5.8,4.2,,5.0
13682718,5.8,6.7,,6.3
13682722,5.0,3.3,,4.0
13682739,8.3,5.8,,6.8
13682750,3.3,6.7,,5.3
13682764,4.2,5.8,,5.2
13682771,0.8,1.7,5.0,3.3
13682785,5.8,4.2,,5.0
13682792,4.2,2.5,,3.2
13682805,5.0,5.0,,5.0
13682812,5.0,5.8,,5.5
13682830,3.3,4.2,9.2,6.8
13682847,5.8,2.5,,3.8
13682851,3.3,4.2,5.0,4.5
13682868,5.0,2.5,10.0,8.0
13682872,7.5,7.5,,7.5
13682893,3.3,5.8,,5.0
13682909,2.5,4.2,,3.5
13682913,8.3,4.2,,5.8
13682941,4.2,5.0,,4.7
13682962,5.0,5.0,,5.0
13682980,3.3,4.2,1.7,3.2
13682997,5.0,4.2,,4.5
13683000,2.5,10.0,,7.0
13683017,6.7,4.2,,5.2
13683021,3.3,4.2,8.3,6.3
13683038,2.5,5.8,3.3,5.0
13683042,5.8,5.0,,5.3
13683059,2.5,4.2,1.7,3.2
13683063,7.5,3.3,,5.0
13683084,4.2,1.7,4.2,4.2
13683104,5.8,0.8,6.7,6.3
13683125,1.7,4.2,,3.2
13683132,6.7,5.8,,6.2
13683150,4.2,3.3,2.5,3.2
13683167,7.5,4.2,,5.5
13683171,4.2,4.2,5.0,4.7
13683188,4.2,0.8,2.5,3.2
13683192,3.3,2.5,2.5,2.8
13683208,4.2,4.2,5.0,4.7
13683212,5.8,6.7,,6.3
13683233,2.5,1.7,3.3,3.0
13683240,5.0,4.2,4.2,4.5
13683254,4.2,3.3,3.3,3.7
13683261,7.5,1.7,0.8,3.5
13683275,0.8,1.7,5.0,3.3
13683316,3.3,2.5,1.7,2.3
13683320,2.5,2.5,2.5,2.5
13683337,3.3,3.3,2.5,3.0
